講座ID,講座名,業者名,ページの商品名,税抜,税込,カード等の追加費用,学科のみ/学科+実技,確認日,URL
1,機械研削用といしの取替え又は取替え時の試運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
2,自由研削用といしの取替え又は取替え時の試運転の業務,一般社団法人 建設業教育協会,自由研削用といし取替等業務特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技2時間は事業所で別途）,2026-09-07,https://k-k-k.jp/whetstone/
2,自由研削用といしの取替え又は取替え時の試運転の業務,一般財団法人 中小建設業特別教育協会,自由研削といし取替試運転作業者特別教育 WEB講習,9550,10505,カード追加費用の記載なし／振込手数料は利用者負担,学科+実技（実技別途）,2026-09-07,https://www.tokubetu.or.jp/online-price.html
2,自由研削用といしの取替え又は取替え時の試運転の業務,助太刀学院,自由研削といしの取替え等特別教育,未表示,11600,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科+実技（実技2時間は事業者が別途）,2026-09-07,https://suke-dachi.jp/gakuin/grinding-wheel/
2,自由研削用といしの取替え又は取替え時の試運転の業務,東京技能講習協会,自由研削といし特別教育（オンライン講習含む）,未表示,11000,テキスト代込み／カード等追加費用の記載なし,学科+実技（オンラインは学科4時間）,2026-09-07,https://www.tgkk.or.jp/koushu-ryoukin/
3,動力プレスの金型等の取付け、取外し又は調整の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
4,アーク溶接等の業務,一般社団法人 安全・技能推進協会,アーク溶接等作業の安全特別教育,10220,12990,"表示合計にはテキスト・送料等 2,070円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
4,アーク溶接等の業務,一般社団法人 建設業教育協会,アーク溶接等の業務に係る特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技10時間は事業所で別途）,2026-09-07,https://k-k-k.jp/arcwelding/
4,アーク溶接等の業務,助太刀学院,アーク溶接等の業務に係る特別教育(Web講習),未表示,12500,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科+実技（実技10時間は事業者が別途）,2026-09-07,https://suke-dachi.jp/gakuin/welding/
5,高圧若しくは特別高圧の充電電路等の敷設、点検、修理又は操作の業務,一般社団法人 建設業教育協会,高圧・特別高圧電気の取扱特別教育（操作業務限定） Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（操作業務限定・実技別途）,2026-09-07,https://k-k-k.jp/highpressure/
