講座ID	講座名	学科分	実技分	うち税抜	うち税込	業者	よそ税込	学科/実技	出どころ	URL
ashiba	足場の組立て等の業務に係る特別教育	360	0	4500	4950	茨城教育センター	8000		検索の抜粋	
ashiba	足場の組立て等の業務に係る特別教育	360	0	4500	4950	助太刀学院	9400	学科のみ	ページ	https://suke-dachi.jp/gakuin/scaffold/
ashiba	足場の組立て等の業務に係る特別教育	360	0	4500	4950	中小建設業特別教育協会	10505	学科のみ	ページ	https://www.tokubetu.or.jp/online-price.html
ashiba	足場の組立て等の業務に係る特別教育	360	0	4500	4950	東京技能講習協会	11000	学科のみ	ページ	https://www.tgkk.or.jp/koushu-ryoukin/
ashiba	足場の組立て等の業務に係る特別教育	360	0	4500	4950	労働技能講習協会	11130		検索の抜粋	
shokucho	職長・安全衛生責任者教育	795	0	7000	7700	中小建設業特別教育協会	17600		検索の抜粋	
ishiwata	石綿使用建築物等解体等業務に係る特別教育	270	0	4500	4950	斉藤商会	7700		検索の抜粋	
ishiwata	石綿使用建築物等解体等業務に係る特別教育	270	0	4500	4950	中小建設業特別教育協会	8525	学科のみ	ページ	https://www.tokubetu.or.jp/online-price.html
ishiwata	石綿使用建築物等解体等業務に係る特別教育	270	0	4500	4950	東京技能講習協会	10000	学科のみ	ページ	https://www.tgkk.or.jp/koushu-ryoukin/
ishiwata	石綿使用建築物等解体等業務に係る特別教育	270	0	4500	4950	CIC日本建設情報センター	10450		検索の抜粋	
ishiwata	石綿使用建築物等解体等業務に係る特別教育	270	0	4500	4950	助太刀学院	10500	学科のみ	ページ	https://suke-dachi.jp/gakuin/asbestos/
kousho	高所作業車の運転の業務に係る特別教育	360	180	7000	7700	助太刀学院	10500	学科+実技（実技3時間は事業者が別途）	ページ	https://suke-dachi.jp/gakuin/aerial-work-vehicle/
kousho	高所作業車の運転の業務に係る特別教育	360	180	7000	7700	CIC日本建設情報センター	11000		検索の抜粋	
kousho	高所作業車の運転の業務に係る特別教育	360	180	7000	7700	安全・技能推進協会	12730	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
harness	墜落制止用器具のうちフルハーネス型のものを用いて行う作業に係る特別教育	270	90	6000	6600	建設業教育協会	4950	学科+実技（実技1.5時間は事業所で別途）	ページ	https://k-k-k.jp/fullharness/
harness	墜落制止用器具のうちフルハーネス型のものを用いて行う作業に係る特別教育	270	90	6000	6600	安全・技能推進協会	9396	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
harness	墜落制止用器具のうちフルハーネス型のものを用いて行う作業に係る特別教育	270	90	6000	6600	助太刀学院	9400	学科+実技（実技1.5時間は事業者が別途）	ページ	https://suke-dachi.jp/gakuin/full-harness/
harness	墜落制止用器具のうちフルハーネス型のものを用いて行う作業に係る特別教育	270	90	6000	6600	中小建設業特別教育協会	10505	学科+実技（実技別途）	ページ	https://www.tokubetu.or.jp/online-price.html
harness	墜落制止用器具のうちフルハーネス型のものを用いて行う作業に係る特別教育	270	90	6000	6600	東京技能講習協会	11000	学科+実技（オンラインは学科4.5時間）	ページ	https://www.tgkk.or.jp/koushu-ryoukin/
harness	墜落制止用器具のうちフルハーネス型のものを用いて行う作業に係る特別教育	270	90	6000	6600	CIC日本建設情報センター（ブラックカード）	13200		検索の抜粋	
rope	ロープ高所作業に係る業務に係る特別教育	240	180	6000	6600	建設業教育協会	4950	学科+実技（実技3時間は事業所で別途）	ページ	https://k-k-k.jp/ropehighplaces/
rope	ロープ高所作業に係る業務に係る特別教育	240	180	6000	6600	CIC日本建設情報センター（カード型）	12650		検索の抜粋	
funjin	特定粉じん作業に係る業務に係る特別教育	270	0	4500	4950	中小建設業特別教育協会	9900		検索の抜粋	
funjin	特定粉じん作業に係る業務に係る特別教育	270	0	4500	4950	安全衛生マネジメント協会	9900		検索の抜粋	
funjin	特定粉じん作業に係る業務に係る特別教育	270	0	4500	4950	東京技能講習協会	10000	学科のみ	ページ	https://www.tgkk.or.jp/koushu-ryoukin/
funjin	特定粉じん作業に係る業務に係る特別教育	270	0	4500	4950	CIC日本建設情報センター	10450		検索の抜粋	
funjin	特定粉じん作業に係る業務に係る特別教育	270	0	4500	4950	助太刀学院	10500	学科のみ	ページ	https://suke-dachi.jp/gakuin/dust/
forklift	フォークリフト（最大荷重1トン未満）の運転の業務に係る特別教育	360	360	6000	6600	建設業教育協会	4950	学科+実技（実技6時間は事業所で別途）	ページ	https://k-k-k.jp/forklift/
forklift	フォークリフト（最大荷重1トン未満）の運転の業務に係る特別教育	360	360	6000	6600	CIC日本建設情報センター	9900		検索の抜粋	
forklift	フォークリフト（最大荷重1トン未満）の運転の業務に係る特別教育	360	360	6000	6600	助太刀学院	11600	学科+実技（実技6時間は事業者が別途）	ページ	https://suke-dachi.jp/gakuin/forklift/
forklift	フォークリフト（最大荷重1トン未満）の運転の業務に係る特別教育	360	360	6000	6600	安全・技能推進協会	12030	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
tailgate	テールゲートリフターの操作の業務に係る特別教育	240	120	5000	5500	建設業教育協会	4950	学科+実技（実技2時間は事業所で別途）	ページ	https://k-k-k.jp/tailgate/
tailgate	テールゲートリフターの操作の業務に係る特別教育	240	120	5000	5500	CIC日本建設情報センター	11000	学科+実技（学科4時間eラーニング、実技2時間は事業所で別途）	ページ	https://www.cic-ct.co.jp/tailgate_lifter/
tailgate	テールゲートリフターの操作の業務に係る特別教育	240	120	5000	5500	東京技能講習協会	14000	学科+実技（オンラインは学科4時間）	ページ	https://www.tgkk.or.jp/koushu-ryoukin/
toishi	自由研削用といしの取替え又は取替え時の試運転の業務に係る特別教育	240	120	5000	5500	建設業教育協会	4950	学科+実技（実技2時間は事業所で別途）	ページ	https://k-k-k.jp/whetstone/
toishi	自由研削用といしの取替え又は取替え時の試運転の業務に係る特別教育	240	120	5000	5500	中小建設業特別教育協会	10505	学科+実技（実技別途）	ページ	https://www.tokubetu.or.jp/online-price.html
toishi	自由研削用といしの取替え又は取替え時の試運転の業務に係る特別教育	240	120	5000	5500	東京技能講習協会	11000	学科+実技（オンラインは学科4時間）	ページ	https://www.tgkk.or.jp/koushu-ryoukin/
toishi	自由研削用といしの取替え又は取替え時の試運転の業務に係る特別教育	240	120	5000	5500	助太刀学院	11600	学科+実技（実技2時間は事業者が別途）	ページ	https://suke-dachi.jp/gakuin/grinding-wheel/
teiatsu	低圧電気取扱業務に係る特別教育	420	420	7000	7700	建設業教育協会	4950	学科+実技（実技1時間又は7時間を事業所で別途）	ページ	https://k-k-k.jp/lowvoltage/
teiatsu	低圧電気取扱業務に係る特別教育	420	420	7000	7700	CIC日本建設情報センター	9900		検索の抜粋	
teiatsu	低圧電気取扱業務に係る特別教育	420	420	7000	7700	助太刀学院	11600	学科+実技（実技別途）	ページ	https://suke-dachi.jp/gakuin/low-voltage-electrical-work/
winch	巻上げ機の運転の業務に係る特別教育	360	240	6000	6600	建設業教育協会	4950	学科+実技（実技4時間は事業所で別途）	ページ	https://k-k-k.jp/hoisting/
winch	巻上げ機の運転の業務に係る特別教育	360	240	6000	6600	CIC日本建設情報センター	11500		検索の抜粋	
roller	ローラーの運転の業務に係る特別教育	360	240	6000	6600	安全・技能推進協会	12071	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
roller	ローラーの運転の業務に係る特別教育	360	240	6000	6600	CIC日本建設情報センター（ブラックカード）	12100		検索の抜粋	
chainsaw	チェーンソーを用いて行う立木の伐木、かかり木の処理又は造材の業務に係る特別教育	540	540	8000	8800	建設業教育協会	4950	学科+実技（実技は事業所で別途）	ページ	https://k-k-k.jp/chainsaw/
arc	アーク溶接等の業務に係る特別教育	660	600	9000	9900	建設業教育協会	4950	学科+実技（実技10時間は事業所で別途）	ページ	https://k-k-k.jp/arcwelding/
arc	アーク溶接等の業務に係る特別教育	660	600	9000	9900	助太刀学院	12500	学科+実技（実技10時間は事業者が別途）	ページ	https://suke-dachi.jp/gakuin/welding/
arc	アーク溶接等の業務に係る特別教育	660	600	9000	9900	安全・技能推進協会	12990	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
compressor	作業室及び気こう室へ送気するための空気圧縮機を運転する業務に係る特別教育	600	120	9000	9900	見つからず				
soukiroom	作業室への送気の調節を行うためのバルブ又はコツクを操作する業務に係る特別教育	600	120	9000	9900	見つからず				
kikoushitsu	気こう室への送気又は気こう室からの排気の調節を行うためのバルブ又はコツクを操作する業務に係る特別教育	540	180	8500	9350	見つからず				
soukisensui	潜水作業者への送気の調節を行うためのバルブ又はコツクを操作する業務に係る特別教育	540	120	8500	9350	見つからず				
saiatsushitsu	再圧室を操作する業務に係る特別教育	540	180	8500	9350	見つからず				
kouatsushitsu	高圧室内業務に係る特別教育	420	0	7000	7700	見つからず				
senryouka	特定線量下業務に係る特別教育	150	0	3500	3850	見つからず				
josendojo	除染等業務（土壌等の除染等）に係る特別教育	240	90	5000	5500	見つからず				
josenshushu	除染等業務（除去土壌の収集等）に係る特別教育	240	90	5000	5500	見つからず				
josenhaiki	除染等業務（汚染廃棄物の収集等）に係る特別教育	240	90	5000	5500	見つからず				
josentokutei	除染等業務（特定汚染土壌等取扱業務）に係る特別教育	210	60	4500	4950	見つからず				
josentokuteigai	除染等業務（特定汚染土壌等取扱業務（線量管理外））に係る特別教育	210	60	4500	4950	見つからず				
tokureikinkyu	特例緊急作業に係る特別教育	390	360	9500	10450	見つからず				
haikihasai	事故由来廃棄物等の処分の業務（破砕等）に係る特別教育	300	120	6500	7150	見つからず				
haikishokyaku	事故由来廃棄物等の処分の業務（焼却）に係る特別教育	300	120	6500	7150	見つからず				
haikiumetate	事故由来廃棄物等の処分の業務（埋立て）に係る特別教育	300	120	6500	7150	見つからず				
xrayki	エックス線装置又はガンマ線照射装置を取り扱う業務（エックス線装置）に係る特別教育	270	0	5500	6050	建設業教育協会	4950	学科のみ	ページ	https://k-k-k.jp/x-raymachine/
gammaki	エックス線装置又はガンマ線照射装置を取り扱う業務（ガンマ線照射装置）に係る特別教育	270	0	5500	6050	建設業教育協会	4950	学科のみ	ページ	https://k-k-k.jp/x-raymachine/
xraygammaki	エックス線装置又はガンマ線照射装置を取り扱う業務（エックス線装置とガンマ線照射装置の両方）に係る特別教育	360	0	7000	7700	建設業教育協会	4950	学科のみ	ページ	https://k-k-k.jp/x-raymachine/
kakunenkakou	加工施設等（加工施設）において核燃料物質等を取り扱う業務に係る特別教育	330	120	7500	8250	見つからず				
kakunensaishori	加工施設等（再処理施設）において核燃料物質等を取り扱う業務に係る特別教育	330	120	7500	8250	見つからず				
kakunenshiyou	加工施設等（使用施設等）において核燃料物質等を取り扱う業務に係る特別教育	330	120	7500	8250	見つからず				
kakunengenshiro	原子炉施設において核燃料物質等を取り扱う業務に係る特別教育	300	120	7000	7700	見つからず				
tetraalkyl	四アルキル鉛等業務に係る特別教育	360	0	6000	6600	見つからず				
boiler	小型ボイラーの取扱いの業務に係る特別教育	420	240	7000	7700	建設業教育協会	4950	学科+実技（実技は事業所で別途）	ページ	https://k-k-k.jp/smallboiler/
gondola	ゴンドラの操作の業務に係る特別教育	300	240	5500	6050	CIC日本建設情報センター	13200		検索の抜粋	
derrick	つり上げ荷重5トン未満のデリツクの運転の業務に係る特別教育	540	240	8000	8800	見つからず				
kensetsulift	建設用リフトの運転の業務に係る特別教育	300	240	5500	6050	建設業教育協会	4950	学科+実技（実技は事業所で別途）	ページ	https://k-k-k.jp/constructionlift/
mobilecrane	つり上げ荷重1トン未満の移動式クレーンの運転の業務に係る特別教育	540	240	8000	8800	建設業教育協会	4950	学科+実技（実技4時間は事業所で別途）	ページ	https://k-k-k.jp/crane/
crane	つり上げ荷重5トン未満のクレーン及びつり上げ荷重5トン以上の跨線テルハの運転の業務に係る特別教育	540	240	8000	8800	安全・技能推進協会	12225	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
crane	つり上げ荷重5トン未満のクレーン及びつり上げ荷重5トン以上の跨線テルハの運転の業務に係る特別教育	540	240	8000	8800	CIC日本建設情報センター	13200		検索の抜粋	
tamakake	つり上げ荷重1トン未満のクレーン等の玉掛けの業務に係る特別教育	300	240	5500	6050	建設業教育協会	4950	学科+実技（実技4時間は事業所で別途）	ページ	https://k-k-k.jp/slinging/
tamakake	つり上げ荷重1トン未満のクレーン等の玉掛けの業務に係る特別教育	300	240	5500	6050	CIC日本建設情報センター（カード型）	11550		検索の抜粋	
tamakake	つり上げ荷重1トン未満のクレーン等の玉掛けの業務に係る特別教育	300	240	5500	6050	助太刀学院	11600	学科+実技（実技4時間は事業者が別途）	ページ	https://suke-dachi.jp/gakuin/sling/
tamakake	つり上げ荷重1トン未満のクレーン等の玉掛けの業務に係る特別教育	300	240	5500	6050	安全・技能推進協会	12225	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
tokushu	特殊化学設備の取扱い、整備及び修理の業務に係る特別教育	780	900	10000	11000	見つからず				
tire	自動車用タイヤの組立てに係る空気充てんの業務に係る特別教育	300	240	5500	6050	建設業教育協会	4950	学科+実技（実技4時間は事業所で別途）	ページ	https://k-k-k.jp/tireair/
robotkensa	産業用ロボットの可動範囲内において行う検査等の業務に係る特別教育	540	240	8000	8800	見つからず				
robotkyoji	産業用ロボットの可動範囲内において行う教示等の業務に係る特別教育	420	180	7000	7700	見つからず				
kidou	軌道装置の動力車の運転の業務に係る特別教育	360	240	6000	6600	見つからず				
jack	ジャッキ式つり上げ機械の調整又は運転の業務に係る特別教育	360	240	6000	6600	見つからず				
boring	ボーリングマシンの運転の業務に係る特別教育	420	300	7000	7700	見つからず				
concrete	コンクリート打設用機械の作業装置の操作の業務に係る特別教育	420	300	7000	7700	見つからず				
kisosousa	車両系建設機械（基礎工事用）の作業装置の操作の業務に係る特別教育	300	240	5500	6050	見つからず				
kisokenki	基礎工事用建設機械の運転の業務に係る特別教育	420	300	7000	7700	見つからず				
kaitai	小型車両系建設機械（解体用）の運転の業務に係る特別教育	420	420	7000	7700	見つからず				
kisokouji	小型車両系建設機械（基礎工事用）の運転の業務に係る特別教育	420	360	7000	7700	見つからず				
kanikasen	簡易架線集材装置の運転又は架線集材機械の運転の業務に係る特別教育	360	480	6000	6600	見つからず				
kikaishuzai	機械集材装置の運転の業務に係る特別教育	360	480	6000	6600	見つからず				
soukou	走行集材機械の運転の業務に係る特別教育	360	360	6000	6600	見つからず				
batsuboku	伐木等機械の運転の業務に係る特別教育	360	360	6000	6600	見つからず				
youka	揚貨装置（制限荷重5トン未満）の運転の業務に係る特別教育	660	240	9000	9900	見つからず				
press	動力プレスの金型等の取付け、取外し又は調整の業務に係る特別教育	480	120	8000	8800	CIC日本建設情報センター（カード型）	13750		検索の抜粋	
dioxin	ダイオキシン類のばく露防止に係る業務に係る特別教育	240	0	5000	5500	建設業教育協会	4950	学科のみ	ページ	https://k-k-k.jp/wastematter/
